IP	Port
123.207.23.211	7779
123.207.23.211	5604
123.207.23.211	8060
123.207.23.211	8241
123.207.23.211	8098
42.194.226.30	19
42.194.226.30	6581
42.194.226.30	465
42.194.226.30	3749
42.194.226.30	1723
221.182.245.225	8083
106.75.71.81	1023
106.75.71.81	8053
106.75.71.81	3077
106.75.71.81	3563
106.75.71.81	3001
106.75.71.81	8086
106.75.71.81	16992
106.75.71.81	83
106.75.71.81	28017
106.75.71.81	80
106.75.71.81	2002
106.75.71.81	9304
106.75.71.81	9981
106.75.71.81	8140
221.182.144.17	16993
117.48.120.226	9001
117.48.120.226	9151
117.48.120.226	5269
117.48.120.226	7548
117.48.120.226	2762
117.48.120.226	17000
117.48.120.226	5938
117.48.120.226	6667
117.48.120.226	3299
117.48.120.226	143
117.48.120.226	5357
117.48.120.226	5577
45.43.62.235	9869
45.43.62.235	1433
45.43.62.235	8811
45.43.62.235	5025
45.43.62.235	33060
45.43.62.235	3566
45.43.62.235	5357
45.43.62.235	27015
45.43.62.235	9600
45.43.62.235	1311
45.43.62.235	8500
45.43.62.235	14147
221.182.247.177	10000
42.194.230.121	7634
42.194.230.121	80
42.194.230.121	6464
42.194.230.121	444
42.194.230.121	8009
42.194.230.121	9433
42.194.230.121	3128
42.194.230.121	50070
42.194.230.121	8181
42.194.230.121	9202
42.194.230.121	8545
101.36.105.97	1234
101.36.105.97	5984
101.36.105.97	6664
101.36.105.97	6588
101.36.105.97	8083
101.36.105.97	5009
101.36.105.97	3780
106.75.76.83	8069
106.75.76.83	548
106.75.76.83	8818
106.75.76.83	4040
106.75.76.83	7090
106.75.76.83	902
106.75.76.83	18245
